cv_thresh_x100,motion_w,min_hsv_x100,bg_var_thresh,conf_x100,track_min_hits,color_w,shape_w,avg_stable,cv_pass_rate,peak_stable,zero_frac,score
20,1,8,30,20,2,6,3,1.613,1.0,5.0,0.029,0.2713
20,1,8,50,20,2,6,3,1.613,1.0,5.0,0.029,0.2713
20,1,8,70,20,2,6,3,1.613,1.0,5.0,0.029,0.2713
20,1,12,30,20,2,6,3,1.613,1.0,5.0,0.029,0.2713
20,1,12,50,20,2,6,3,1.613,1.0,5.0,0.029,0.2713
20,1,12,70,20,2,6,3,1.613,1.0,5.0,0.029,0.2713
20,2,8,30,20,2,5,3,1.613,1.0,5.0,0.029,0.2713
20,2,8,50,20,2,5,3,1.613,1.0,5.0,0.029,0.2713
20,2,8,70,20,2,5,3,1.613,1.0,5.0,0.029,0.2713
20,2,12,30,20,2,5,3,1.613,1.0,5.0,0.029,0.2713
20,2,12,50,20,2,5,3,1.613,1.0,5.0,0.029,0.2713
20,2,12,70,20,2,5,3,1.613,1.0,5.0,0.029,0.2713
20,3,8,30,20,2,5,2,1.613,1.0,5.0,0.029,0.2713
20,3,8,50,20,2,5,2,1.613,1.0,5.0,0.029,0.2713
20,3,8,70,20,2,5,2,1.613,1.0,5.0,0.029,0.2713
20,3,12,30,20,2,5,2,1.613,1.0,5.0,0.029,0.2713
20,3,12,50,20,2,5,2,1.613,1.0,5.0,0.029,0.2713
20,3,12,70,20,2,5,2,1.613,1.0,5.0,0.029,0.2713
25,1,8,30,20,2,6,3,1.613,1.0,5.0,0.029,0.2713
25,1,8,50,20,2,6,3,1.613,1.0,5.0,0.029,0.2713
25,1,8,70,20,2,6,3,1.613,1.0,5.0,0.029,0.2713
25,1,12,30,20,2,6,3,1.613,1.0,5.0,0.029,0.2713
25,1,12,50,20,2,6,3,1.613,1.0,5.0,0.029,0.2713
25,1,12,70,20,2,6,3,1.613,1.0,5.0,0.029,0.2713
25,2,8,30,20,2,5,3,1.613,1.0,5.0,0.029,0.2713
25,2,8,50,20,2,5,3,1.613,1.0,5.0,0.029,0.2713
25,2,8,70,20,2,5,3,1.613,1.0,5.0,0.029,0.2713
25,2,12,30,20,2,5,3,1.613,1.0,5.0,0.029,0.2713
25,2,12,50,20,2,5,3,1.613,1.0,5.0,0.029,0.2713
25,2,12,70,20,2,5,3,1.613,1.0,5.0,0.029,0.2713
25,3,8,30,20,2,5,2,1.613,1.0,5.0,0.029,0.2713
25,3,8,50,20,2,5,2,1.613,1.0,5.0,0.029,0.2713
25,3,8,70,20,2,5,2,1.613,1.0,5.0,0.029,0.2713
25,3,12,30,20,2,5,2,1.613,1.0,5.0,0.029,0.2713
25,3,12,50,20,2,5,2,1.613,1.0,5.0,0.029,0.2713
25,3,12,70,20,2,5,2,1.613,1.0,5.0,0.029,0.2713
